=== clean (-A256m) ===
PROBE50 evt=1 site=rnValBindsLHS_in_mbinds n=8
PROBE50 evt=2 site=rnValBindsLHS_after_mapBagM n=8
PROBE50 evt=3 site=rnValBindsRHS_in_mbinds n=8
PROBE50 evt=4 site=rnValBindsLHS_in_mbinds n=1
PROBE50 evt=5 site=rnValBindsLHS_after_mapBagM n=1
PROBE50 evt=6 site=rnValBindsRHS_in_mbinds n=1
PROBE50 evt=7 site=rnValBindsRHS_after_mapBagM_binds_w_dus n=1
PROBE50 evt=8 site=rnValBindsRHS_after_depAnal_groups n=1
PROBE50 evt=9 site=rnValBindsRHS_after_depAnal_total n=1
PROBE50 evt=10 site=rnValBindsRHS_after_mapBagM_binds_w_dus n=8
PROBE50 evt=11 site=rnValBindsRHS_after_depAnal_groups n=8
PROBE50 evt=12 site=rnValBindsRHS_after_depAnal_total n=8
PROBE50 evt=13 site=rnValBindsLHS_in_mbinds n=0
PROBE50 evt=14 site=rnValBindsLHS_after_mapBagM n=0
PROBE50 evt=15 site=rnValBindsRHS_in_mbinds n=0
PROBE50 evt=16 site=rnValBindsRHS_after_mapBagM_binds_w_dus n=0
PROBE50 evt=17 site=rnValBindsRHS_after_depAnal_groups n=0
PROBE50 evt=18 site=rnValBindsRHS_after_depAnal_total n=0
RC=0

=== failing len=600 (-A1m -G1) ===
PROBE50 evt=1 site=rnValBindsLHS_in_mbinds n=8
PROBE50 evt=2 site=rnValBindsLHS_after_mapBagM n=8
PROBE50 evt=3 site=rnValBindsRHS_in_mbinds n=8
PROBE50 evt=4 site=rnValBindsLHS_in_mbinds n=1
PROBE50 evt=5 site=rnValBindsLHS_after_mapBagM n=1
PROBE50 evt=6 site=rnValBindsRHS_in_mbinds n=1
PROBE50 evt=7 site=rnValBindsRHS_after_mapBagM_binds_w_dus n=1
PROBE50 evt=8 site=rnValBindsRHS_after_depAnal_groups n=0
PROBE50 evt=9 site=rnValBindsRHS_after_depAnal_total n=0
PROBE50 evt=10 site=rnValBindsRHS_after_mapBagM_binds_w_dus n=8
PROBE50 evt=11 site=rnValBindsRHS_after_depAnal_groups n=3
PROBE50 evt=12 site=rnValBindsRHS_after_depAnal_total n=4
PROBE50 evt=13 site=rnValBindsLHS_in_mbinds n=0
PROBE50 evt=14 site=rnValBindsLHS_after_mapBagM n=0
PROBE50 evt=15 site=rnValBindsRHS_in_mbinds n=0
PROBE50 evt=16 site=rnValBindsRHS_after_mapBagM_binds_w_dus n=0
PROBE50 evt=17 site=rnValBindsRHS_after_depAnal_groups n=0
PROBE50 evt=18 site=rnValBindsRHS_after_depAnal_total n=0
RC=1

=== failing len=1650 (-A1m -G1) ===
PROBE50 evt=1 site=rnValBindsLHS_in_mbinds n=8
PROBE50 evt=2 site=rnValBindsLHS_after_mapBagM n=8
PROBE50 evt=3 site=rnValBindsRHS_in_mbinds n=8
PROBE50 evt=4 site=rnValBindsLHS_in_mbinds n=1
PROBE50 evt=5 site=rnValBindsLHS_after_mapBagM n=1
PROBE50 evt=6 site=rnValBindsRHS_in_mbinds n=1
PROBE50 evt=7 site=rnValBindsRHS_after_mapBagM_binds_w_dus n=1
PROBE50 evt=8 site=rnValBindsRHS_after_depAnal_groups n=0
PROBE50 evt=9 site=rnValBindsRHS_after_depAnal_total n=0
PROBE50 evt=10 site=rnValBindsRHS_after_mapBagM_binds_w_dus n=8
PROBE50 evt=11 site=rnValBindsRHS_after_depAnal_groups n=3
PROBE50 evt=12 site=rnValBindsRHS_after_depAnal_total n=3
PROBE50 evt=13 site=rnValBindsLHS_in_mbinds n=0
PROBE50 evt=14 site=rnValBindsLHS_after_mapBagM n=0
PROBE50 evt=15 site=rnValBindsRHS_in_mbinds n=0
PROBE50 evt=16 site=rnValBindsRHS_after_mapBagM_binds_w_dus n=0
PROBE50 evt=17 site=rnValBindsRHS_after_depAnal_groups n=0
PROBE50 evt=18 site=rnValBindsRHS_after_depAnal_total n=0
RC=1
